NH3 (ppm),H2S (ppm),eCO2 (ppm),TVOC (ppb),Humidity (%),Temperature (°C),Motion Events (Last 1 Hour),User Rating
24.917758137281222,0.7276610825837863,501.80666849674384,54.10900257002443,77.10478371206776,29.224387020619087,5,4
24.140774023033224,1.9017170873062557,909.900534252465,177.81612921992,75.99229433732215,29.163796599818347,15,4
22.017886996984995,0.46598613147966184,917.8757451533298,474.45603660767574,72.73976219035845,27.56089112551698,4,5
22.418069528226077,0.6801430327077942,1118.4149968416436,393.75852429199966,54.02572976933159,24.892020320421377,2,1
5.269351448428992,0.9734149705949646,1041.788051752933,440.20584171779274,75.90144023779509,29.08194459959989,5,3
22.69182065899325,1.9772162729509155,683.9927206335959,363.1353676136373,67.72990331705775,20.083533011132815,8,3
7.405771868514231,1.88109065574498,782.490159773281,167.0783667990973,50.39416576774469,28.17730814189774,3,2
9.08032054441485,0.30696258592400316,943.931011434315,156.80586794560915,71.04049993420053,24.408224957628992,1,4
8.978539714196934,0.9159490168915152,990.2949914222609,418.77543814878203,72.48868122052347,20.025645617155366,8,4
13.290526853210245,0.1212874132915468,682.7626809133665,283.78201070968726,66.81040540696148,31.296462215676613,0,3
21.234275414325737,1.4740790489734994,790.5967330184277,342.7556924606086,72.2898276997501,23.286815137375847,7,3
15.542804945948522,0.55643868839359,846.508359257216,132.33194355378086,60.42357294400755,23.141587548464642,9,1
10.842268250132175,1.0327295319900056,1018.9744279377414,139.15538812842834,61.61662258351418,23.50213159384883,8,4
18.880914783079803,0.3742069752198759,663.4548522226685,375.90444805485015,69.18982065979556,32.66017613658565,6,3
10.122380859868496,0.7427851888817185,524.6632356979096,58.240310235062466,75.18772080665681,29.483359760795654,7,5
9.218415431553979,0.2786925042938637,572.6406041089616,107.74847134530731,71.67529616250866,22.79305785721376,0,5
6.761581457188612,0.24361151399946515,619.278827226252,114.01549532746675,62.508752825062146,26.507072684255967,4,5
5.848422120649239,0.7116653622699229,783.0330440993434,293.4862842311533,51.51770040210769,28.97873156535952,4,3
7.925533632838642,1.328429000151518,950.8718281005027,53.33678953131025,53.78866747565683,33.28441011391842,15,4
19.20713466991071,0.359062429295087,840.2376637720374,377.70493930757016,62.78822714237798,22.848540741622443,5,3
6.908061850406353,0.6702364631978895,1068.211561930275,488.2978255039159,72.22070141744004,33.72249926104814,8,3
23.677340797026396,1.0792571929310455,1025.1122690571892,294.8642159770179,78.71269106367019,21.53273928255825,7,3
17.598054241080902,0.2720047555221883,417.1567292082445,482.0050230917826,51.26851507719392,31.23451781908583,8,2
